seq,sigla,rnum,codigo
1.4.5,PE,277,71926
1.4.5,PE,278,72626
1.4.5,PE,279,72630
1.4.5,PE,280,72733
1.4.5,PE,281,72742
1.4.5,PE,282,72744
1.4.5,PE,283,72830
1.4.5,PE,284,72889
1.4.5,PE,285,72902
1.4.5,PE,286,72916
1.4.5,PE,287,72941
1.4.5,PE,288,73036
1.4.5,PE,289,73038
1.4.5,PE,290,73062
1.4.5,PE,291,73147
1.4.5,PE,292,73167
1.4.5,PE,293,73373
1.4.5,PE,294,73388
1.4.5,PE,295,73393
1.4.5,PE,296,73462
1.4.5,PE,297,73490
1.4.5,PE,298,73494
1.4.5,PE,299,73658
1.4.5,PE,300,73662
1.4.5,PE,301,73671
1.4.5,PE,302,73695
1.4.5,PE,303,73728
1.4.5,PE,304,73739
1.4.5,PE,305,73743
1.4.5,PE,306,73765
1.4.5,PE,307,73770
1.4.5,PE,308,73782
1.4.5,PE,309,73860
1.4.5,PE,310,73882
1.4.5,PE,311,73909
1.4.5,PE,312,73964
1.4.5,PE,313,74030
1.4.5,PE,314,74043
1.4.5,PE,315,74066
1.4.5,PE,316,74085
1.4.5,PE,317,74122
1.4.5,PE,318,74140
1.4.5,PE,319,74143
1.4.5,PE,320,74150
1.4.6,PE,321,66586
1.4.6,PE,322,66701
1.4.6,PE,323,68817
1.4.6,PE,324,72678
1.4.6,PE,325,72726
1.4.6,PE,326,72734
1.4.6,PE,327,73139
1.4.6,PE,328,74006
1.4.7,PE,329,66432
1.4.7,PE,330,66491
1.4.7,PE,331,66495
1.4.7,PE,332,66534
1.4.7,PE,333,66560
1.4.7,PE,334,66611
1.4.7,PE,335,66624
1.4.7,PE,336,66675
1.4.7,PE,337,66725
1.4.7,PE,338,66731
1.4.7,PE,339,66739
1.4.7,PE,340,66745
1.4.7,PE,341,66826
1.4.7,PE,342,66835
1.4.7,PE,343,66892
1.4.7,PE,344,73023
1.4.7,PE,345,73095
1.4.7,PE,346,73285
1.4.7,PE,347,73316
1.4.7,PE,348,73564
1.4.7,PE,349,73705
1.4.7,PE,350,73792
1.4.7,PE,351,73960
1.4.7,PE,352,74225
1.4.8,PE,353,66386
1.4.8,PE,354,66470
1.4.8,PE,355,66474
1.4.8,PE,356,66481
1.4.8,PE,357,66507
1.4.8,PE,358,66519
1.4.8,PE,359,66533
1.4.8,PE,360,66535
1.4.8,PE,361,66544
1.4.8,PE,362,66551
1.4.8,PE,363,66570
1.4.8,PE,364,66585
1.4.8,PE,365,66607
1.4.8,PE,366,66618
1.4.8,PE,367,66631
1.4.8,PE,368,66633
1.4.8,PE,369,66638
1.4.8,PE,370,66660
1.4.8,PE,371,66674
1.4.8,PE,372,66702
1.4.8,PE,373,66711
1.4.8,PE,374,66714
1.4.8,PE,375,66716
1.4.8,PE,376,66721
1.4.8,PE,377,66761
1.4.8,PE,378,66771
1.4.8,PE,379,66775
1.4.8,PE,380,66792
1.4.8,PE,381,66796
1.4.8,PE,382,66812
1.4.8,PE,383,66830
1.4.8,PE,384,66852
1.4.8,PE,385,66871
1.4.8,PE,386,66889
1.4.8,PE,387,67176
1.4.8,PE,388,70660
1.4.8,PE,389,71964
1.4.8,PE,390,72617
1.4.8,PE,391,72708
1.4.8,PE,392,72768
1.4.8,PE,393,72822
1.4.8,PE,394,72918
1.4.8,PE,395,72939
1.4.8,PE,396,72956
1.4.8,PE,397,73024
1.4.8,PE,398,73178
1.4.8,PE,399,73292
1.4.8,PE,400,73326
1.4.8,PE,401,73449
1.4.8,PE,402,73724
1.4.8,PE,403,73775
1.4.8,PE,404,73807
1.4.8,PE,405,73811
1.4.8,PE,406,73834
1.4.8,PE,407,73844
1.4.8,PE,408,73879
1.4.8,PE,409,73963
1.4.8,PE,410,74110
1.4.8,PE,411,74242
1.4.8,PE,412,74368
1.4.8,PE,413,74379
1.4.9,PE,414,66380
1.4.9,PE,415,66510
1.4.9,PE,416,66512
1.4.9,PE,417,66580
1.4.9,PE,418,66608
1.4.9,PE,419,73238
1.4.9,PE,420,73441
1.4.9,PE,421,73686
1.4.10,PE,422,66223
1.4.10,PE,423,66483
1.4.10,PE,424,66516
1.4.10,PE,425,66571
1.4.10,PE,426,66765
1.4.10,PE,427,66774
1.4.10,PE,428,72610
1.4.10,PE,429,73027
1.4.10,PE,430,73045
1.4.10,PE,431,73093
1.4.10,PE,432,73546
1.4.10,PE,433,73787
1.4.11,PE,434,66206
1.4.11,PE,435,66357
1.4.11,PE,436,66397
1.4.11,PE,437,66398
1.4.11,PE,438,66511
1.4.11,PE,439,66539
1.4.11,PE,440,66540
1.4.11,PE,441,66545
1.4.11,PE,442,66553
1.4.11,PE,443,66561
