autor,name_full,n,codigos
ana carolina xavier tiola leite,Ana Carolina Xavier Tiola Leite,2,"{""73544"": 5, ""73805"": 6}"
ana celia oliveira dos santos,Ana Célia Oliveira dos Santos,2,"{""72836"": 3, ""72891"": 8}"
ana clara lopes barbosa ferreira,Ana Clara Lopes Barbosa Ferreira,1,"{""66615"": 5}"
ana claudia cerqueira,Ana Claudia Cerqueira,1,"{""66711"": 5}"
ana claudia fontes,Ana Claudia Fontes,5,"{""72992"": 4, ""73041"": 3, ""73056"": 5, ""73061"": 5, ""73238"": 6}"
ana claudia goncalez,Ana Claudia Gonçalez,1,"{""73856"": 2}"
ana claudia vidigal,Ana Claudia Vidigal,1,"{""73238"": 4}"
ana claudia vidigal de souza,Ana Cláudia Vidigal de Souza,1,"{""66247"": 3}"
ana conceicao norbim prado cunha,Ana Conceiçâo Norbim Prado Cunha,2,"{""66550"": 5, ""66724"": 3}"
ana cristina carvalho de matos,Ana Cristina Carvalho de Matos,2,"{""73073"": 1, ""73080"": 3}"
ana elisa rocha tetilla,Ana Elisa Rocha Tetilla,2,"{""66838"": 5, ""74175"": 5}"
ana elisa souza jorge,Ana Elisa Souza Jorge,4,"{""66723"": 2, ""72667"": 8, ""73913"": 6, ""74140"": 3}"
ana elizabeth figueiredo,Ana Elizabeth Figueiredo,2,"{""66339"": 1, ""66439"": 2}"
ana flavia baldoni costa,Ana Flávia Baldoni Costa,2,"{""66480"": 3, ""66896"": 7}"
ana flavia berteli,Ana Flávia Berteli,2,"{""66390"": 5, ""66391"": 7}"
ana flavia magalhaes queiroz,Ana Flavia Magalhães Queiroz,1,"{""73739"": 3}"
ana flavia moura,Ana Flavia Moura,2,"{""66826"": 2, ""72965"": 3}"
ana flavia ribeiro nascimento,Ana Flávia Ribeiro Nascimento,1,"{""66582"": 5}"
anaiara lucena queiroz,Anaiara Lucena Queiroz,1,"{""66761"": 3}"
ana julia amaral albernaz,Ana Júlia Amaral Albernaz,2,"{""66749"": 6, ""73388"": 3}"
ana karina teixeira,Ana Karina Teixeira,1,"{""73477"": 3}"
ana karina teixeira da cunha franca,Ana Karina Teixeira da Cunha França,5,"{""73162"": 3, ""73267"": 7, ""73467"": 3, ""73642"": 3, ""73654"": 4}"
ana katherine da silveira goncalves de oliveira,Ana Katherine da Silveira Gonçalves de Oliveira,1,"{""66747"": 5}"
ana kelly de sousa ferreira,Ana Kelly de Sousa Ferreira,1,"{""66598"": 4}"
ana larisse teles cabral,Ana Larisse Teles Cabral,2,"{""66485"": 2, ""66511"": 5}"
ana laura cangussu campos,Ana Laura Cangussu Campos,1,"{""72013"": 4}"
ana laura pimentel,Ana Laura Pimentel,2,"{""66590"": 1, ""66601"": 1}"
ana leticia gomide zanin borducchi,Ana Letícia Gomide Zanin Borducchi,1,"{""66465"": 3}"
ana lucia crissiuma,Ana Lucia Crissiuma,1,"{""66669"": 4}"
ana lucia crissiuma de azevedo juppa,Ana Lucia Crissiuma de Azevedo Juppa,1,"{""66577"": 2}"
ana lucia inacio,Ana Lúcia Inácio,1,"{""73689"": 3}"
ana luisa barros de castro,Ana Luisa Barros de Castro,1,"{""66477"": 2}"
ana luisa costa soares,Ana Luísa Costa Soares,2,"{""74016"": 5, ""74049"": 5}"
ana luisa moreira de miranda,Ana Luisa Moreira de Miranda,1,"{""66872"": 3}"
ana luisa oliveira,Ana Luisa Oliveira,1,"{""66776"": 1}"
ana luisa rufino de sousa,Ana Luisa Rufino de Sousa,3,"{""66428"": 2, ""66506"": 2, ""66507"": 1}"
ana luiza andrade prado,Ana Luiza Andrade Prado,1,"{""74356"": 3}"
ana luiza santos maldonado,Ana Luiza Santos Maldonado,1,"{""73036"": 3}"
ana luiza silva de almeida,Ana Luiza Silva de Almeida,1,"{""66223"": 2}"
ana luiza tavares menezes,Ana Luiza Tavares Menezes,1,"{""66488"": 3}"
ana maria emrich,Ana Maria Emrich,1,"{""73963"": 3}"
ana maria martins,Ana Maria Martins,1,"{""73558"": 5}"
ana maria ribeiro dos santos,Ana Maria Ribeiro dos Santos,2,"{""73441"": 6, ""73818"": 7}"
ana maria tuleski,Ana Maria Tuleski,2,"{""73168"": 8, ""73462"": 5}"
ana messa,Ana Messa,1,"{""73093"": 1}"
ananda razzo mei,Ananda Razzo Mei,1,"{""73080"": 2}"
ananda r. fretes,Ananda R. Fretes,1,"{""66786"": 3}"
ananda ribeiro fretes,Ananda Ribeiro Fretes,1,"{""66678"": 3}"
ana paula andrade da silva,Ana Paula Andrade da Silva,1,"{""72930"": 1}"
ana paula damasceno,Ana Paula Damasceno,2,"{""73682"": 6, ""73698"": 6}"
ana paula donadi,Ana Paula Donadi,1,"{""66598"": 8}"
ana paula gueiros,Ana Paula Gueiros,1,"{""72916"": 2}"
ana paula lesniovski dos santos,Ana Paula Lesniovski dos Santos,1,"{""73334"": 2}"
ana paula negreiros nunes alves,Ana Paula Negreiros Nunes Alves,1,"{""66641"": 5}"
ana paula paiva barros,Ana Paula Paiva Barros,1,"{""66645"": 6}"
ana paula pereira da silva,Ana Paula Pereira da Silva,1,"{""73787"": 3}"
ana paula ramos silva,Ana Paula Ramos Silva,1,"{""72819"": 1}"
ana paula roque da silva,Ana Paula Roque da Silva,3,"{""72897"": 7, ""73133"": 2, ""73134"": 2}"
ana paula santana gueiros,Ana Paula Santana Gueiros,3,"{""66783"": 2, ""72742"": 3, ""72822"": 3}"
ana paula s. gueiros,Ana Paula S. Gueiros,1,"{""72639"": 2}"
ana paula silva,Ana Paula Silva,1,"{""73988"": 2}"
ana paula simoes ferreira teixeira,Ana Paula Simões Ferreira Teixeira,2,"{""73687"": 2, ""73705"": 2}"
ana rita de oliveira passos,Ana Rita de Oliveira Passos,1,"{""73641"": 1}"
ana rita passos,Ana Rita Passos,1,"{""73699"": 1}"
ana rodriguez-carmona,Ana Rodríguez-Carmona,1,"{""72766"": 5}"
ana rosa botelho de andrade nader,Ana Rosa Botelho de Andrade Nader,2,"{""73568"": 2, ""73572"": 2}"
ana rosa pinto quidute,Ana Rosa Pinto Quidute,1,"{""66685"": 7}"
ana vitoria alves de souza gripp,Ana Vitória Alves de Souza Gripp,1,"{""66723"": 5}"
ana wanda marinho guerra barreto,Ana Wanda Marinho Guerra Barreto,1,"{""66380"": 2}"
anderson alexsander rodrigues teixeira,Anderson Alexsander Rodrigues Teixeira,1,"{""66830"": 5}"
anderson luiz alvarenga nascimento,Anderson Luiz Alvarenga Nascimento,1,"{""72978"": 4}"
anderson luiz de alvarenga nascimento,Anderson Luiz de Alvarenga Nascimento,1,"{""72977"": 4}"
anderson simabuco,Anderson Simabuco,1,"{""73675"": 5}"
andrea bauer,Andrea Bauer,1,"{""73000"": 1}"
andrea carla bauer,Andrea Carla Bauer,4,"{""73000"": 2, ""73204"": 6, ""73262"": 4, ""73322"": 7}"
andrea dias reis,Andréa Dias Reis,1,"{""66764"": 4}"
andrea emilia marques stinghen,Andréa Emilia Marques Stinghen,3,"{""66445"": 5, ""66559"": 7, ""66576"": 8}"
andrea e. stinghen,Andrea e Stinghen,1,"{""73558"": 6}"
andrea novais moreno-amaral,Andréa Novais Moreno-Amaral,1,"{""66652"": 6}"
