autor,name_full,n,codigos
jose eurico vasconcelos filho,José Eurico Vasconcelos Filho,5,"{""66396"": 7, ""66442"": 7, ""66475"": 7, ""66476"": 8, ""73421"": 5}"
jose ferraz,Jose Ferraz,1,"{""66456"": 7}"
jose ferraz de souza,José Ferraz de Souza,2,"{""66829"": 5, ""71964"": 4}"
jose hermogenes rocco suassuna,José Hermogenes Rocco Suassuna,7,"{""66350"": 2, ""66480"": 5, ""66617"": 5, ""66622"": 6, ""66695"": 3, ""73336"": 7, ""73513"": 7}"
joselany afio caetano,Joselany Áfio Caetano,1,"{""74255"": 8}"
jose luiz cassiolato,Jose Luiz Cassiolato,1,"{""73053"": 4}"
jose mauro peralta,José Mauro Peralta,1,"{""72607"": 4}"
jose mauro vieira junior,José Mauro Vieira Júnior,1,"{""66622"": 4}"
jose nolasco de carvalho neto,José Nolasco de Carvalho Neto,4,"{""73644"": 5, ""74189"": 6, ""74213"": 1, ""74360"": 3}"
jose osmar medina pestana,José Osmar Medina Pestana,2,"{""72780"": 8, ""72899"": 8}"
jose osmar pestana,José Osmar Pestana,1,"{""72698"": 8}"
jose osmar pestana medina,José Osmar Pestana Medina,1,"{""66663"": 5}"
jose otto reusing junior,José Otto Reusing Junior,1,"{""68572"": 6}"
jose pacheco martins ribeiro neto,Jose Pacheco Martins Ribeiro Neto,1,"{""66763"": 7}"
joseph fabiano guimaraes santos,Joseph Fabiano Guimarães Santos,2,"{""73903"": 7, ""73926"": 7}"
jose rodrigo santos silva,Jose Rodrigo Santos Silva,1,"{""74356"": 4}"
jose sebastiao de abreu,José Sebastião de Abreu,1,"{""66425"": 4}"
jose sudario cardoso neto,José Sudário Cardoso Neto,1,"{""66786"": 7}"
jose sudario c. neto,José Sudário C. Neto,1,"{""66678"": 8}"
joubert,Joubert,1,"{""73626"": 1}"
joubert araujo alves,Joubert Araújo Alves,2,"{""73536"": 1, ""73652"": 4}"
joyce ellen p rodrigues,Joyce Ellen P. Rodrigues,1,"{""72621"": 5}"
joyce martins arimatea branco tavares,Joyce Martins Arimatéa Branco Tavares,4,"{""66680"": 3, ""66688"": 5, ""70094"": 2, ""73172"": 1}"
joyce martins arimateia branco tavares,Joyce Martins Arimateia Branco Tavares,2,"{""66404"": 5, ""66405"": 4}"
joyce santos lages,Joyce Santos Lages,3,"{""66563"": 4, ""73095"": 5, ""73108"": 7}"
jukelson barbosa da silva,Jukelson Barbosa da Silva,1,"{""73079"": 2}"
julia behling medeiros,Júlia Behling Medeiros,1,"{""74389"": 7}"
julia borges antunes,Julia Borges Antunes,1,"{""72920"": 1}"
julia cabral barreto,Júlia Cabral Barreto,1,"{""71598"": 7}"
julia carvalho mourao,Júlia Carvalho Mourão,1,"{""74150"": 3}"
julia drumond parreiras de morais,Júlia Drumond Parreiras de Morais,2,"{""73544"": 3, ""73805"": 4}"
julia gabriela motta,Julia Gabriela Motta,1,"{""66725"": 2}"
julia guasti p. vianna,Júlia Guasti P. Vianna,2,"{""66569"": 2, ""66580"": 2}"
julia kapitansky,Julia Kapitansky,1,"{""66339"": 5}"
julia mapa clemente,Júlia Mapa Clemente,1,"{""74150"": 4}"
julia maria santos nascimento,Júlia Maria Santos Nascimento,2,"{""66396"": 5, ""66399"": 4}"
julia miceli varela,Julia Miceli Varela,1,"{""66896"": 8}"
juliana aparecida zanocco,Juliana Aparecida Zanocco,3,"{""66804"": 4, ""66808"": 3, ""73906"": 6}"
juliana bastos campos tassi,Juliana Bastos Campos Tassi,3,"{""73220"": 4, ""73224"": 4, ""73317"": 3}"
juliana busato mansur,Juliana Busato Mansur,1,"{""66501"": 3}"
juliana costa correa,Juliana Costa Corrêa,3,"{""66667"": 2, ""66804"": 2, ""73906"": 2}"
juliana dall' agnol,Juliana Dall' Agnol,1,"{""74389"": 5}"
juliana da silva rosa,Juliana da Silva Rosa,2,"{""66844"": 2, ""66863"": 3}"
juliana dias scher,Juliana Dias Scher,1,"{""73326"": 2}"
juliana elizabeth jung,Juliana Elizabeth Jung,1,"{""66864"": 6}"
juliana feiman sapiertein silva,Juliana Feiman Sapiertein Silva,3,"{""72955"": 2, ""73919"": 1, ""74082"": 7}"
juliana felizardo viana,Juliana Felizardo Viana,1,"{""73937"": 3}"
juliana flizicoski hosoume,Juliana Flizicoski Hosoume,1,"{""66698"": 2}"
juliana gomes ramalho de oliveira,Juliana Gomes Ramalho de Oliveira,12,"{""66396"": 1, ""66399"": 3, ""66401"": 8, ""66440"": 3, ""66441"": 2, ""66442"": 2, ""66473"": 1, ""66475"": 1, ""66476"": 2, ""66485"": 3, ""73421"": 2, ""73730"": 2}"
juliana lehmkuhl,Juliana Lehmkuhl,1,"{""74055"": 3}"
juliana loureiro castro,Juliana Loureiro Castro,1,"{""73334"": 4}"
juliana maciel de assis,Juliana Maciel de Assis,1,"{""66850"": 3}"
juliana mara lima,Juliana Mara Lima,2,"{""73419"": 2, ""73422"": 2}"
juliana martino roth,Juliana Martino Roth,2,"{""74388"": 1, ""74389"": 1}"
juliana nogueira,Juliana Nogueira,1,"{""66896"": 6}"
juliana petersen,Juliana Petersen,1,"{""66481"": 3}"
juliana ponte alves,Juliana Ponte Alves,1,"{""66495"": 7}"
julia nara almeida,Julia Nara Almeida,1,"{""73170"": 5}"
juliana ribeiro fernandes,Juliana Ribeiro Fernandes,1,"{""73987"": 3}"
juliana rosa macedo,Juliana Rosa Macedo,2,"{""73746"": 4, ""74255"": 4}"
juliana sartorio fornazier,Juliana Sartório Fornazier,1,"{""66457"": 5}"
juliana soares andriotti,Juliana Soares Andriotti,1,"{""71781"": 2}"
juliana watts cavalcanti,Juliana Watts Cavalcanti,1,"{""66763"": 2}"
juliane kelly moreno,Juliane Kelly Moreno,1,"{""72980"": 7}"
juliane lauar,Juliane Lauar,1,"{""73263"": 6}"
juliano carvalho gomes de almeida,Juliano Carvalho Gomes de Almeida,1,"{""72830"": 4}"
juliano meirelles cunha,Juliano Meirelles Cunha,1,"{""72920"": 3}"
julia santana de oliveira,Júlia Santana de Oliveira,1,"{""74245"": 2}"
julia santanna rocha gomes,Júlia SantAnna Rocha Gomes,1,"{""66455"": 7}"
julio cesar chaves nunes filho,Júlio Cesar Chaves Nunes Filho,4,"{""66618"": 7, ""66632"": 1, ""66633"": 1, ""66693"": 1}"
julio cesar martin monte,Julio Cesar Martin Monte,1,"{""66541"": 6}"
julio cesar moraes lovisi,Júlio César Moraes Lovisi,1,"{""66587"": 3}"
julio cesar oliveira costa teles,Júlio César Oliveira Costa Teles,4,"{""73644"": 6, ""74189"": 5, ""74213"": 3, ""74320"": 2}"
julio cesar soares barreto,Julio César Soares Barreto,3,"{""66408"": 6, ""66613"": 6, ""66773"": 6}"
julio cesar vieira sousa,Júlio Cesar Vieira Sousa,1,"{""66566"": 4}"
julio cezar dantas santos,Júlio Cezar Dantas Santos,1,"{""72532"": 7}"
jullyane rebeca rodrigues da silva,Jullyane Rebeca Rodrigues da Silva,1,"{""73212"": 4}"
jussara ramos ribeiro,Jussara Ramos Ribeiro,1,"{""66455"": 6}"
jyana gomes morais campos,Jyana Gomes Morais Campos,2,"{""73475"": 2, ""73481"": 2}"
kaio dakson da silva,Kaio Dakson da Silva,1,"{""66603"": 2}"
kaio saad paes valadares,Kaio Saad Paes Valadares,1,"{""66451"": 7}"
kaique arriel,Kaique Arriel,1,"{""66596"": 4}"
kamila ferreira ribeiro tadeu,Kamila Ferreira Ribeiro Tadeu,2,"{""73761"": 3, ""74171"": 1}"
kamila jardini pedrosa,Kamila Jardini Pedrosa,2,"{""66390"": 7, ""66391"": 5}"
kamila silva marins chamon,Kamila Silva Marins Chamon,1,"{""73167"": 2}"
kamilla grasielle nunes da silva,Kamilla Grasielle Nunes da Silva,2,"{""66699"": 1, ""66767"": 1}"
kamilla mendes de oliveira,Kamilla Mendes de Oliveira,1,"{""66481"": 2}"
kamyla vieira,Kamyla Vieira,1,"{""66339"": 3}"
karen alessandra rosati,Karen Alessandra Rosati,2,"{""73168"": 6, ""73462"": 2}"
karina suzuki,Karina Suzuki,3,"{""66408"": 4, ""66613"": 5, ""66773"": 4}"
karina zanchetta cardoso eid,Karina Zanchetta Cardoso Eid,2,"{""66520"": 3, ""66522"": 3}"
karine da silva oliveira,Karine da Silva Oliveira,1,"{""72628"": 2}"
karine leao marinho,Karine Leão Marinho,5,"{""66426"": 8, ""66438"": 8, ""66582"": 1, ""66634"": 1, ""66812"": 4}"
karine martins ferreira,Karine Martins Ferreira,1,"{""66836"": 4}"
karine pereira neves,Karine Pereira Neves,1,"{""66678"": 4}"
karine p. neves,Karine P. Neves,1,"{""66786"": 4}"
karin yasmin santos fonseca,Karin Yasmin Santos Fonsêca,3,"{""74189"": 4, ""74213"": 4, ""74320"": 1}"
karise fernandes dos santos,Karise Fernandes dos Santos,1,"{""73024"": 2}"
karisia santos guedes,Karisia Santos Guedes,1,"{""66681"": 7}"
karla amaral nogueira quadros,Karla Amaral Nogueira Quadros,1,"{""66697"": 3}"
karla brandao nunes,Karla Brandão Nunes,1,"{""66483"": 5}"
karla brito dos santos,Karla Brito dos Santos,2,"{""66654"": 3, ""66783"": 1}"
karla cristina petruccelli,Karla Cristina Petruccelli,1,"{""66380"": 3}"
karla do nascimento magalhaes,Karla do Nascimento Magalhaes,1,"{""66721"": 3}"
karla soares de castro,Karla Soares de Castro,1,"{""66448"": 6}"
karlla da conceicao bezerra brito veras,Karlla da Conceição Bezerra Brito Veras,1,"{""66548"": 8}"
karoliny andrade wobido,Karoliny Andrade Wobido,1,"{""72929"": 5}"
karollina di paula rodrigues salgado,Karollina Di Paula Rodrigues Salgado,1,"{""73304"": 7}"
karyne gomes cajazeiras,Karyne Gomes Cajazeiras,11,"{""66683"": 5, ""66691"": 4, ""66694"": 1, ""66696"": 8, ""66700"": 6, ""66706"": 4, ""66707"": 1, ""66717"": 8, ""66728"": 5, ""66769"": 3, ""66801"": 4}"
kassia piraciaba barboza,Kassia Piraciaba Barboza,3,"{""66488"": 5, ""66749"": 1, ""73388"": 2}"
katharina grundler,Katharina Grundler,1,"{""66362"": 3}"
katia cansancao,Kátia Cansanção,1,"{""66788"": 3}"
katia cronemberger sousa,Katia Cronemberger Sousa,1,"{""71638"": 4}"
katia lino,Katia Lino,1,"{""73170"": 6}"
kaue cunha de freitas,Kauê Cunha de Freitas,2,"{""72727"": 1, ""73743"": 1}"
kelcia rosana da silva quadros,Kélcia Rosana da Silva Quadros,1,"{""73313"": 3}"
kelcia rosana silva quadros,Kelcia Rosana Silva Quadros,1,"{""73690"": 2}"
kelia xavier,Kélia Xavier,1,"{""73263"": 4}"
kelly cristiane rocha lemos,Kelly Cristiane Rocha Lemos,1,"{""72836"": 2}"
kelly crstina leal,Kelly Crstina Leal,1,"{""72621"": 4}"
kelly lemos,Kelly Lemos,1,"{""72891"": 1}"
kelser de souza kock,Kelser de Souza Kock,1,"{""66521"": 4}"
kemila martins chaves,Kêmila Martins Chaves,2,"{""66470"": 8, ""72768"": 2}"
kesia tomasi da rocha,Késia Tomasi da Rocha,2,"{""66339"": 2, ""66791"": 4}"
ketuny da silva oliveira,Kétuny da Silva Oliveira,3,"{""73685"": 3, ""73792"": 2, ""74080"": 5}"
kildare rocha de miranda,Kildare Rocha de Miranda,1,"{""66701"": 6}"
kildere moura teixeira de souza,Kildere Moura Teixeira de Souza,1,"{""73013"": 3}"
klaus nunes ficher,Klaus Nunes Ficher,1,"{""73494"": 6}"
kleyton de andrade bastos,Kleyton de Andrade Bastos,7,"{""72966"": 1, ""73644"": 8, ""74189"": 8, ""74213"": 7, ""74320"": 8, ""74356"": 1, ""74360"": 8}"
kleyton santos de medeiros,Kleyton Santos de Medeiros,1,"{""66747"": 2}"
krasnalhia livia soares de abreu,Krasnalhia Lívia Soares de Abreu,1,"{""73494"": 5}"
krissia kamile singer wallbach,Krissia Kamile Singer Wallbach,3,"{""73558"": 4, ""74245"": 1, ""74368"": 1}"
laerte leao emrich filho,Laerte Leão Emrich Filho,2,"{""66640"": 3, ""73691"": 1}"
laila almeida viana,Laila Almeida Viana,1,"{""72780"": 6}"
laisa maria alves bezerra,Laísa Maria Alves Bezerra,1,"{""73212"": 6}"
laisa nunes kato,Laísa Nunes Kato,3,"{""66428"": 1, ""66506"": 1, ""66507"": 2}"
lais arrivabene barbieri,Lais Arrivabene Barbieri,1,"{""73167"": 4}"
laise de oliveira resende,Laíse de Oliveira Resende,1,"{""66819"": 5}"
laise koenig de lima,Laíse Koenig de Lima,1,"{""73591"": 1}"
lais fagundes matos pereira de gouvea,Laís Fagundes Matos Pereira de Gouvea,4,"{""73671"": 6, ""73964"": 3, ""74066"": 2, ""74122"": 4}"
laisla fernandes de nogueira rosa,Laisla Fernandes de Nogueira Rosa,1,"{""66813"": 3}"
lais lima sa,Laís Lima Sá,1,"{""66481"": 1}"
lais maria bellaver de almeida,Lais Maria Bellaver de Almeida,4,"{""66520"": 4, ""66522"": 4, ""72582"": 1, ""72708"": 2}"
lais souza germano,Lais Souza Germano,1,"{""73045"": 8}"
laiz teixeira pontes,Laiz Teixeira Pontes,1,"{""73027"": 1}"
lania noia santana santos,Lania Noia Santana Santos,1,"{""72966"": 4}"
lanuza do prado gil duarte,Lanuza do Prado Gil Duarte,1,"{""73419"": 3}"
lara cotrim de macedo,Lara Cotrim de Macedo,1,"{""73261"": 2}"
lara de holanda juca silveira,Lara de Holanda Jucá Silveira,3,"{""66631"": 5, ""66674"": 4, ""66716"": 7}"
lara veiga freire,Lara Veiga Freire,4,"{""66351"": 2, ""66352"": 3, ""66385"": 1, ""66386"": 3}"
larissa barbosa paiva,Larissa Barbosa Paiva,3,"{""66401"": 6, ""66475"": 4, ""66476"": 5}"
larissa carla lauer schneider,Larissa Carla Lauer Schneider,1,"{""74006"": 4}"
larissa de andrade viana,Larissa de Andrade Viana,1,"{""66763"": 5}"
larissa de queiroz silva,Larissa de Queiroz Silva,1,"{""66598"": 1}"
larissa dias biolcati rodrigues da costa,Larissa Dias Biolcati Rodrigues da Costa,1,"{""73749"": 3}"
larissa esterfanne cavalcante cunha,Larissa Esterfanne Cavalcante Cunha,2,"{""72976"": 3, ""72979"": 2}"
larissa freitas moreira malta,Larissa Freitas Moreira Malta,1,"{""66466"": 4}"
larissa harumi ishigai,Larissa Harumi Ishigai,1,"{""66357"": 2}"
larissa klein,Larissa Klein,3,"{""66317"": 4, ""66318"": 4, ""72996"": 5}"
larissa kruger,Larissa Kruger,1,"{""73082"": 3}"
larissa lentz braga,Larissa Lentz Braga,1,"{""66834"": 5}"
larissa marjorie claudino,Larissa Marjorie Claudino,1,"{""73334"": 3}"
larissa moreira de souza dos santos,Larissa Moreira de Souza dos Santos,1,"{""74250"": 3}"
larissa roseiro,Larissa Roseiro,1,"{""73901"": 5}"
larissa santos pereira,Larissa Santos Pereira,2,"{""66697"": 1, ""66819"": 6}"
larissa vitor,Larissa Vitor,1,"{""72676"": 2}"
laryssa fernandes de souza coelho,Laryssa Fernandes de Souza Coelho,1,"{""66206"": 3}"
la salete martins,La Salete Martins,1,"{""66687"": 7}"
laudenice medeiros vieira,Laudenice Medeiros Vieira,1,"{""66598"": 3}"
laudilene cristina rebello marinho,Laudilene Cristina Rebello Marinho,1,"{""71602"": 4}"
laura carolina lopez claro,Laura Carolina López Claro,1,"{""66829"": 4}"
laura goldfarb cyrino,Laura Goldfarb Cyrino,1,"{""73564"": 1}"
laurisson albuquerque da costa,Laurisson Albuquerque da Costa,2,"{""72697"": 2, ""72698"": 1}"
lauro monteiro vasconcellos filho,Lauro Monteiro Vasconcellos Filho,5,"{""66597"": 6, ""66775"": 6, ""66872"": 8, ""66883"": 8, ""73109"": 8}"
layana thays de souza alves,Layana Thays de Souza Alves,1,"{""73546"": 1}"
layon silveira campagnaro,Layon Silveira Campagnaro,1,"{""74394"": 3}"
layse nobre barbosa,Layse Nobre Barbosa,1,"{""71598"": 4}"
lazaro bruno borges silva,Lázaro Bruno Borges Silva,4,"{""66465"": 5, ""66640"": 4, ""66733"": 3, ""74179"": 2}"
lazaro pereira jacobina,Lázaro Pereira Jacobina,1,"{""72702"": 6}"
leandra rocha cancado de carvalho,Leandra Rocha Cançado de Carvalho,1,"{""66470"": 5}"
leandro cordeiro portela,Leandro Cordeiro Portela,2,"{""66544"": 3, ""66573"": 3}"
leandro de vargas,Leandro de Vargas,1,"{""72733"": 6}"
leandro iran rosa,Leandro Iran Rosa,1,"{""66521"": 5}"
leandro junior lucca,Leandro Junior Lucca,3,"{""72617"": 5, ""72620"": 5, ""73691"": 5}"
leandro lucca junior,Leandro Lucca Júnior,1,"{""74179"": 6}"
leandro u. taniguchi,Leandro U. Taniguchi,1,"{""72537"": 5}"
lecticia barbosa jorge,Lecticia Barbosa Jorge,1,"{""72744"": 3}"
lecticia jorge,Lectícia Jorge,1,"{""73297"": 5}"
leda aparecida daud lotaif,Leda Aparecida Daud Lotaif,1,"{""74394"": 6}"
leda marilia fonseca lucinda,Leda Marília Fonseca Lucinda,4,"{""66353"": 5, ""66451"": 8, ""66466"": 5, ""66793"": 2}"
leia antonangelo,Leia Antonangelo,1,"{""72708"": 5}"
leidson duraes alkmim,Leidson Durães Alkmim,1,"{""72768"": 6}"
leila antonangelo,Leila Antonangelo,4,"{""73292"": 5, ""73297"": 6, ""73532"": 4, ""73543"": 4}"
leila silveira vieira da silva,Leila Silveira Vieira da Silva,1,"{""72907"": 5}"
lenina ludimila sampaio de almeida,Lenina Ludimila Sampaio de Almeida,1,"{""72907"": 1}"
leociley rocha alencar menezes,Leociley Rocha Alencar Menezes,1,"{""66445"": 3}"
leonardo barbosa da costa,Leonardo Barbosa da Costa,5,"{""66500"": 4, ""66671"": 7, ""66674"": 1, ""66852"": 3, ""66878"": 6}"
leonardo costa nobrega,Leonardo Costa Nobrega,2,"{""72947"": 2, ""72952"": 8}"
leonardo davila goncalves,Leonardo Davila Gonçalves,1,"{""72701"": 7}"
leonardo dias garrido,Leonardo Dias Garrido,1,"{""73045"": 6}"
leonardo figueiredo camargo,Leonardo Figueiredo Camargo,1,"{""73828"": 4}"
leonardo hoehl carneiro,Leonardo Hoehl Carneiro,1,"{""73695"": 5}"
leonardo jose monteiro de macedo filho,Leonardo José Monteiro de Macedo Filho,3,"{""66571"": 4, ""66604"": 2, ""73807"": 5}"
leonardo lombardo peixoto,Leonardo Lombardo Peixoto,1,"{""73045"": 5}"
leonardo melo name ribeiro,Leonardo Melo Name Ribeiro,2,"{""72947"": 3, ""72952"": 2}"
leonardo patricio vieira,Leonardo Patricio Vieira,1,"{""73074"": 3}"
leonardo pereira quintella,Leonardo Pereira Quintella,1,"{""72830"": 8}"
leonardo rolim ferraz,Leonardo Rolim Ferraz,1,"{""66541"": 3}"
leonidio dias,Leonídio Dias,1,"{""66687"": 5}"
leticia andrade santos,Letícia Andrade Santos,1,"{""66776"": 2}"
leticia colombo paskakulis,Leticia Colombo Paskakulis,1,"{""66402"": 5}"
leticia daniele gazzo borges,Letícia Daniele Gazzo Borges,4,"{""73671"": 7, ""73964"": 4, ""74066"": 7, ""74122"": 5}"
leticia de oliveira,Leticia de Oliveira,1,"{""66850"": 4}"
leticia de oliveira reis,Letícia de Oliveira Reis,1,"{""73334"": 5}"
leticia helena jardim junta,Letícia Helena Jardim Junta,1,"{""66876"": 1}"
leticia lima aguiar,Letícia Lima Aguiar,2,"{""73746"": 8, ""74255"": 5}"
leticia mascarenhas de souza,Leticia Mascarenhas de Souza,1,"{""73724"": 5}"
leticia mascarenhas maia de carvalho,Letícia Mascarenhas Maia de Carvalho,1,"{""66889"": 4}"
leticia nicoletti silva,Letícia Nicoletti Silva,2,"{""66519"": 3, ""74142"": 7}"
leticia oliveira,Letícia Oliveira,1,"{""72028"": 4}"
leticia rossetto daudt,Leticia Rossetto Daudt,1,"{""73322"": 5}"
levi oliveira de albuquerque,Levi Oliveira de Albuquerque,2,"{""66546"": 7, ""66633"": 4}"
lia cavalcante cezar,Lia Cavalcante Cezar,1,"{""66600"": 2}"
lia conrado galvao,Lia Conrado Galvão,2,"{""72617"": 4, ""72620"": 4}"
lia junqueira marcal,Lia Junqueira Marçal,3,"{""72708"": 4, ""73292"": 3, ""73297"": 4}"
liamara dorigon borghezan,Liamara Dorigon Borghezan,1,"{""66558"": 7}"
lia marcal,Lia Marçal,2,"{""73532"": 2, ""73543"": 2}"
liciane patricia da silva ramos,Liciane Patricia da Silva Ramos,1,"{""73744"": 6}"
lidiane da silva evaristo,Lidiane da Silva Evaristo,1,"{""72676"": 4}"
lidiane marha de souza oliveira,Lidiane Marha de Souza Oliveira,1,"{""66444"": 4}"
lidiane passos cunha,Lidiane Passos Cunha,1,"{""66874"": 1}"
ligia costa battaini,Ligia Costa Battaini,1,"{""73297"": 2}"
ligia maria mietto romao,Ligia Maria Mietto Romão,1,"{""66556"": 1}"
ligiany pereira bastos,Ligiany Pereira Bastos,1,"{""66597"": 5}"
liliana de meira lins kassar,Liliana de Meira Lins Kassar,2,"{""74014"": 1, ""74030"": 2}"
lilian cordeiro,Lilian Cordeiro,1,"{""73808"": 4}"
lilian cuppari,Lilian Cuppari,1,"{""73053"": 6}"
lilian dal padre miquelino,Lilian Dal Padre Miquelino,1,"{""73475"": 6}"
lilian del padre miquelino teodoro,Lilian Del Padre Miquelino Teodoro,1,"{""73474"": 2}"
liliane carvalho rodrigues nunes,Liliane Carvalho Rodrigues Nunes,2,"{""73162"": 7, ""73477"": 1}"
liliane dos santos rodrigues,Liliane dos Santos Rodrigues,3,"{""73162"": 8, ""73267"": 5, ""73642"": 6}"
lilian fatima miguel acha,Lilian Fátima Miguel Acha,2,"{""72959"": 3, ""74131"": 2}"
lilian fellipe duarte de oliveira,Lilian Fellipe Duarte de Oliveira,1,"{""73374"": 4}"
lilian maria cristofani,Lilian Maria Cristofani,2,"{""73883"": 5, ""74265"": 5}"
lilian monetiro pereira palma,Lilian Monetiro Pereira Palma,2,"{""66513"": 6, ""66738"": 6}"
lilian moura de lima spagnolo,Lílian Moura de Lima Spagnolo,2,"{""74388"": 6, ""74389"": 3}"
lilian palma,Lilian Palma,1,"{""73801"": 1}"
lilian pires de freitas carmo,Lilian Pires de Freitas Carmo,2,"{""73739"": 8, ""73765"": 7}"
lilian pires de freitas do carmo,Lilian Pires de Freitas do Carmo,2,"{""73761"": 6, ""74171"": 8}"
lilian rodrigues barreto,Lílian Rodrigues Barreto,1,"{""66749"": 3}"
liliany souza de brito amaral,Liliany Souza de Brito Amaral,3,"{""72969"": 8, ""72976"": 8, ""72979"": 8}"
lima,Lima,1,"{""72736"": 1}"
livia abrahao lima,Livia Abrahão Lima,4,"{""66562"": 1, ""66577"": 1, ""66592"": 2, ""66669"": 3}"
livia caetano vasques,Lívia Caetano Vasques,1,"{""72667"": 4}"
livia cristina barros barreto,Lívia Cristina Barros Barreto,2,"{""66285"": 8, ""66328"": 8}"
livia de almeida alvarenga,Livia de Almeida Alvarenga,1,"{""66764"": 6}"
livia martin cardozo,Lívia Martin Cardozo,1,"{""73316"": 4}"
livia natalia vicente de lima,Livia Natália Vicente de Lima,1,"{""74098"": 3}"
liwerberth dos anjos pereira,Liwerberth dos Anjos Pereira,1,"{""73654"": 8}"
liwerbeth dos anjos pereira,Liwerbeth dos Anjos Pereira,1,"{""73267"": 2}"
liya serikawa sato,Liya Serikawa Sato,1,"{""66512"": 2}"
liz kuschnaroff,Liz Kuschnaroff,1,"{""73624"": 6}"
lizza tattiana cardozo ceretta,Lizza Tattiana Cardozo Ceretta,1,"{""73744"": 7}"
loany queiroz rodrigues carvalho,Loany Queiroz Rodrigues Carvalho,3,"{""66609"": 3, ""66628"": 5, ""66767"": 3}"
lorena de oliveira cruz,Lorena de Oliveira Cruz,1,"{""66380"": 5}"
lorena falcao lima,Lorena Falcão Lima,1,"{""73606"": 3}"
lorena marques pereira,Lorena Marques Pereira,5,"{""73671"": 4, ""73727"": 7, ""73964"": 1, ""74066"": 4, ""74122"": 1}"
lorena sampaio de pinho pessoa,Lorena Sampaio de Pinho Pessoa,3,"{""66485"": 6, ""66487"": 2, ""66511"": 7}"
lorenna de oliveira salvador anselme,Lorenna de Oliveira Salvador Anselmé,1,"{""73167"": 5}"
lorenzo casagrande reggiani,Lorenzo Casagrande Reggiani,1,"{""72733"": 5}"
lorrana de sousa damasceno,Lorrana de Sousa Damasceno,1,"{""66546"": 4}"
lorrany junia lopes de lima,Lorrany Junia Lopes de Lima,1,"{""73665"": 3}"
louise cavalcanti salles,Louise Cavalcanti Salles,1,"{""66729"": 1}"
luana bandeira lopes,Luana Bandeira Lopes,3,"{""74140"": 8, ""76560"": 5, ""76566"": 4}"
luana bittencourt goncalves,Luana Bittencourt Gonçalves,1,"{""73591"": 2}"
luana christina souza da silva,Luana Christina Souza da Silva,1,"{""66874"": 6}"
luana costa de aguiar,Luana Costa de Aguiar,1,"{""73658"": 1}"
luana godinho maynard,Luana Godinho Maynard,1,"{""72532"": 2}"
luana grando,Luana Grando,1,"{""66813"": 5}"
luana marquarte antana,Luana Marquarte Antana,1,"{""73687"": 3}"
luana marquarte santana,Luana Marquarte Santana,1,"{""73705"": 3}"
luana pedreira de oliveira ferreira,Luana Pedreira de Oliveira Ferreira,1,"{""73624"": 3}"
luana rodrigues sarmento,Luana Rodrigues Sarmento,3,"{""66285"": 2, ""66286"": 2, ""66328"": 3}"
luana vital koike,Luana Vital Koike,1,"{""66482"": 3}"
luane de oliveira barreto,Luane de Oliveira Barreto,2,"{""66560"": 3, ""73809"": 3}"
luan viana faria,Luan Viana Faria,2,"{""74016"": 3, ""74049"": 3}"
lucas acatauassu nunes,Lucas Acatauassu Nunes,1,"{""73666"": 1}"
lucas aguiar vale,Lucas Aguiar Vale,1,"{""66857"": 4}"
lucas alberto bastianelli,Lucas Alberto Bastianelli,1,"{""73877"": 3}"
lucas alexandre de mello goldin,Lucas Alexandre de Mello Goldin,1,"{""74142"": 6}"
lucas baroni ronchi,Lucas Baroni Ronchi,1,"{""74043"": 6}"
lucas bomfim jaco megda rocha,Lucas Bomfim Jacó Megda Rocha,1,"{""72013"": 6}"
lucas cardoso siqueira albernaz,Lucas Cardoso Siqueira Albernaz,1,"{""66488"": 4}"
lucas cavalcanti de lima,Lucas Cavalcanti de Lima,1,"{""73606"": 7}"
lucas cordeiro andrade rego,Lucas Cordeiro Andrade Rêgo,1,"{""66824"": 5}"
lucas cristo conilho macedo muller,Lucas Cristo Conilho Macedo Muller,1,"{""66711"": 2}"
lucas dalsenter romano da silva,Lucas Dalsenter Romano da Silva,1,"{""72794"": 1}"
lucas de jesus pereira,Lucas de Jesus Pereira,1,"{""73578"": 2}"
lucas de moura portela,Lucas de Moura Portela,10,"{""66573"": 6, ""66666"": 5, ""66679"": 5, ""66694"": 6, ""66705"": 6, ""66706"": 1, ""66717"": 1, ""66718"": 8, ""66720"": 2, ""66722"": 5}"
lucas dos santos braganca,Lucas dos Santos Bragança,1,"{""66608"": 7}"
lucas enock vieira roberto,Lucas Enock Vieira Roberto,2,"{""66569"": 3, ""66608"": 4}"
lucas fernandes ferreira,Lucas Fernandes Ferreira,1,"{""66830"": 4}"
lucas gobetti da luz,Lucas Gobetti da Luz,2,"{""73036"": 4, ""73038"": 6}"
lucas lanferini de araujo,Lucas Lanferini de Araújo,1,"{""73700"": 4}"
lucas lobo mesquita,Lucas Lobo Mesquita,3,"{""66716"": 6, ""66830"": 1, ""66879"": 2}"
lucas madeira zancanelli,Lucas Madeira Zancanelli,1,"{""66596"": 3}"
lucas marques de aguiar ferreira,Lucas Marques de Aguiar Ferreira,2,"{""66597"": 2, ""66608"": 5}"
lucas m m fonseca,Lucas M. M. Fonseca,1,"{""66534"": 6}"
